?,Player,Team,Apps,Min,G,A,xG,xA,xG90,xA90
1,Christopher Nkunku,RasenBallsport Leipzig,25,1897,16,4,16.29,4.9,0.77,0.23
2,Niclas Füllkrug,Werder Bremen,28,2482,16,5,13.43,3.75,0.49,0.14
3,Vincenzo Grifo,Freiburg,33,2461,15,5,11.62,6.47,0.42,0.24
4,Randal Kolo Muani,Eintracht Frankfurt,32,2671,15,11,14.64,7.07,0.49,0.24
5,Serge Gnabry,Bayern Munich,34,1950,14,5,11.55,5.65,0.53,0.26
6,Marcus Thuram,Borussia M.Gladbach,30,2524,13,6,16.92,3.98,0.6,0.14
7,Jonas Hofmann,Borussia M.Gladbach,31,2703,12,9,7.32,11.07,0.24,0.37
8,Andrej Kramaric,Hoffenheim,32,2413,12,3,12.66,1.69,0.47,0.06
9,Marvin Ducksch,Werder Bremen,34,2888,12,6,10.89,5.12,0.34,0.16
10,Jamal Musiala,Bayern Munich,33,2234,12,10,9.35,7.17,0.38,0.29
